player,cluster,classification
Vedat Muriqi,3,Delantero Faro del Área
Ante Budimir,3,Delantero Faro del Área
Bryan Zaragoza,4,Delantero Extremo
Kike Barja,2,Delantero Generador de Peligro
Raúl,0,Delantero Killer
Rubén García,1,Delantero Mediapunta
Rubén Peña,1,Delantero Mediapunta
Adri Embarba,2,Delantero Generador de Peligro
Jorge de Frutos,2,Delantero Generador de Peligro
Randy Nteka,3,Delantero Faro del Área
Sergi Guardiola,0,Delantero Killer
Sergio Camello,2,Delantero Generador de Peligro
Álvaro García,2,Delantero Generador de Peligro
Brahim Díaz,1,Delantero Mediapunta
Endrick,4,Delantero Extremo
Kylian Mbappé,4,Delantero Extremo
Rodrygo,1,Delantero Mediapunta
Vinicius Júnior,4,Delantero Extremo
Arkaitz Mariezkurrena,0,Delantero Killer
Mikel Oyarzabal,0,Delantero Killer
Orri Steinn Óskarsson,3,Delantero Faro del Área
Sheraldo Becker,4,Delantero Extremo
Umar Sadiq,3,Delantero Faro del Área
Akor Adams,3,Delantero Faro del Área
Chidera Ejuke,4,Delantero Extremo
Dodi Lukebakio,2,Delantero Generador de Peligro
Isaac Romero,0,Delantero Killer
Jesús Navas,1,Delantero Mediapunta
Kelechi Iheanacho,2,Delantero Generador de Peligro
Lucas Ocampos,1,Delantero Mediapunta
Ruben Vargas,2,Delantero Generador de Peligro
Stanis Idumbo,2,Delantero Generador de Peligro
Suso,1,Delantero Mediapunta
Álvaro Pascual,0,Delantero Killer
Dani Gómez,0,Delantero Killer
Francisco Perez,1,Delantero Mediapunta
Hugo Duro,3,Delantero Faro del Área
Rafa Mir,0,Delantero Killer
Umar Sadiq,3,Delantero Faro del Área
Amath,2,Delantero Generador de Peligro
Juanmi Latasa,3,Delantero Faro del Área
Mamadou Sylla,3,Delantero Faro del Área
Marcos André,3,Delantero Faro del Área
Arnaut Danjuma,0,Delantero Killer
Ayoze Pérez,2,Delantero Generador de Peligro
Gerard Moreno,1,Delantero Mediapunta
Nicolas Pépé,2,Delantero Generador de Peligro
Thierno Barry,3,Delantero Faro del Área
Bamba Dieng,0,Delantero Killer
Esteban Lepaul,0,Delantero Killer
Farid El Melali,4,Delantero Extremo
Ibrahima Niane,0,Delantero Killer
Jim Allevinah,1,Delantero Mediapunta
Sidiki Cherif,0,Delantero Killer
Zinedine Ferhat,1,Delantero Mediapunta
Florian Ayé,3,Delantero Faro del Área
Lassine Sinayoko,2,Delantero Generador de Peligro
Theo Bair,3,Delantero Faro del Área
Abdallah Sima,0,Delantero Killer
Ibrahim Salah,4,Delantero Extremo
Jérémy Le Douaron,3,Delantero Faro del Área
Ludovic Ajorque,3,Delantero Faro del Área
Mama Samba Baldé,0,Delantero Killer
Mathias Pereira Lage,0,Delantero Killer
Romain Del Castillo,1,Delantero Mediapunta
André Ayew,3,Delantero Faro del Área
Emmanuel Sabbi,2,Delantero Generador de Peligro
Ilyes Housni,4,Delantero Extremo
Issa Soumaré,3,Delantero Faro del Área
Josué Casimir,2,Delantero Generador de Peligro
Koka,3,Delantero Faro del Área
Steve Ngoura,0,Delantero Killer
Anass Zaroury,1,Delantero Mediapunta
Florian Sotoca,1,Delantero Mediapunta
Goduine Koyalipou,0,Delantero Killer
Jeremy Agbonifo,4,Delantero Extremo
M'Bala Nzola,0,Delantero Killer
Martin Satriano,3,Delantero Faro del Área
Rémy Labeau Lascary,2,Delantero Generador de Peligro
Wesley Saïd,2,Delantero Generador de Peligro
Chuba Akpom,0,Delantero Killer
Edon Zhegrova,4,Delantero Extremo
Jonathan David,2,Delantero Generador de Peligro
Matias Fernandez-Pardo,4,Delantero Extremo
Mitchel Bakker,1,Delantero Mediapunta
Mohamed Lamine Bayo,2,Delantero Generador de Peligro
Osame Sahraoui,1,Delantero Mediapunta
Rémy Cabella,1,Delantero Mediapunta
Alexandre Lacazette,2,Delantero Generador de Peligro
Ernest Nuamah,2,Delantero Generador de Peligro
Georges Mikautadze,2,Delantero Generador de Peligro
Gift Orban,0,Delantero Killer
Malick Fofana,4,Delantero Extremo
Rayan Cherki,1,Delantero Mediapunta
Saïd Benrahma,1,Delantero Mediapunta
Amine Gouiri,2,Delantero Generador de Peligro
Elye Wahi,2,Delantero Generador de Peligro
Jon Rowe,2,Delantero Generador de Peligro
Mason Greenwood,1,Delantero Mediapunta
Neal Maupay,1,Delantero Mediapunta
Breel Embolo,2,Delantero Generador de Peligro
Folarin Balogun,2,Delantero Generador de Peligro
George Ilenikhena,0,Delantero Killer
Lucas Michal,2,Delantero Generador de Peligro
Maghnes Akliouche,1,Delantero Mediapunta
Mika Biereth,2,Delantero Generador de Peligro
Akor Adams,0,Delantero Killer
Andy Delort,3,Delantero Faro del Área
Arnaud Nordin,4,Delantero Extremo
Junior Ndiaye,0,Delantero Killer
Musa Al-Taamari,4,Delantero Extremo
Nicolas Pays,1,Delantero Mediapunta
Othmane Maamma,2,Delantero Generador de Peligro
Tanguy Coulibaly,2,Delantero Generador de Peligro
Wahbi Khazri,1,Delantero Mediapunta
Bahereba Guirassy,0,Delantero Killer
Ignatius Ganago,2,Delantero Generador de Peligro
Matthis Abline,0,Delantero Killer
Meschak Elia,2,Delantero Generador de Peligro
Moses Simon,4,Delantero Extremo
Mostafa Mohamed,3,Delantero Faro del Área
Sorba Thomas,1,Delantero Mediapunta
Evann Guessand,2,Delantero Generador de Peligro
Gaëtan Laborde,0,Delantero Killer
Mohamed Ali Cho,4,Delantero Extremo
Youssoufa Moukoko,2,Delantero Generador de Peligro
Bradley Barcola,4,Delantero Extremo
Désiré Doué,1,Delantero Mediapunta
Gonçalo Ramos,0,Delantero Killer
Ibrahim Mbaye,4,Delantero Extremo
Khvicha Kvaratskhelia,1,Delantero Mediapunta
Lee Kang-in,1,Delantero Mediapunta
Marco Asensio,1,Delantero Mediapunta
Ousmane Dembélé,1,Delantero Mediapunta
Randal Kolo Muani,0,Delantero Killer
Amine Salama,2,Delantero Generador de Peligro
Hafiz Ibrahim,3,Delantero Faro del Área
Jordan Pefok,0,Delantero Killer
Junya Ito,1,Delantero Mediapunta
Keito Nakamura,2,Delantero Generador de Peligro
Mamadou Diakhon,4,Delantero Extremo
Oumar Diakité,0,Delantero Killer
Arnaud Kalimuendo,2,Delantero Generador de Peligro
Jota,1,Delantero Mediapunta
Kyogo Furuhashi,3,Delantero Faro del Área
Mohamed Meité,0,Delantero Killer
Musa Al-Taamari,2,Delantero Generador de Peligro
Augustine Boakye,2,Delantero Generador de Peligro
Ayman Aiki,1,Delantero Mediapunta
Ben Old,4,Delantero Extremo
Djylian N'Guessan,1,Delantero Mediapunta
Ibrahim Sissoko,0,Delantero Killer
Ibrahima Wadji,0,Delantero Killer
Irvin Cardona,2,Delantero Generador de Peligro
Lucas Stassin,2,Delantero Generador de Peligro
Zuriko Davitashvili,2,Delantero Generador de Peligro
Emanuel Emegha,0,Delantero Killer
Jérémy Sebas,0,Delantero Killer
Sekou Mara,3,Delantero Faro del Área
Frank Magri,0,Delantero Killer
Joshua King,0,Delantero Killer
Phillip Tietz,3,Delantero Faro del Área
Samuel Essende,3,Delantero Faro del Área
Steve Mounié,3,Delantero Faro del Área
Harry Kane,2,Delantero Generador de Peligro
Kingsley Coman,2,Delantero Generador de Peligro
Leroy Sané,4,Delantero Extremo
Mathys Tel,1,Delantero Mediapunta
Michael Olise,1,Delantero Mediapunta
Serge Gnabry,2,Delantero Generador de Peligro
Giorgos Masouras,0,Delantero Killer
Koji Miyoshi,1,Delantero Mediapunta
Moritz Broschinski,0,Delantero Killer
Myron Boadu,0,Delantero Killer
Philipp Hofmann,3,Delantero Faro del Área
Donyell Malen,4,Delantero Extremo
Jamie Gittens,4,Delantero Extremo
Julien Duranville,4,Delantero Extremo
Karim Adeyemi,4,Delantero Extremo
Maximilian Beier,2,Delantero Generador de Peligro
Serhou Guirassy,3,Delantero Faro del Área
Elye Wahi,4,Delantero Extremo
Hugo Ekitike,2,Delantero Generador de Peligro
Igor Matanovic,0,Delantero Killer
Michy Batshuayi,0,Delantero Killer
Omar Marmoush,2,Delantero Generador de Peligro
Florent Muslija,2,Delantero Generador de Peligro
Jan-Niklas Beste,1,Delantero Mediapunta
Johan Manzambi,0,Delantero Killer
Junior Adamu,3,Delantero Faro del Área
Lucas Höler,3,Delantero Faro del Área
Michael Gregoritsch,3,Delantero Faro del Área
Ritsu Doan,1,Delantero Mediapunta
Vincenzo Grifo,1,Delantero Mediapunta
Franck Honorat,2,Delantero Generador de Peligro
Nathan N'Goumou,4,Delantero Extremo
Robin Hack,1,Delantero Mediapunta
Tim Kleindienst,3,Delantero Faro del Área
Tomáš Čvančara,0,Delantero Killer
Budu Zivzivadze,0,Delantero Killer
Léo Scienza,2,Delantero Generador de Peligro
Marvin Pieringer,0,Delantero Killer
Mathias Honsak,2,Delantero Generador de Peligro
Maximilian Breunig,0,Delantero Killer
Mikkel Kaufmann,3,Delantero Faro del Área
Sirlord Conteh,2,Delantero Generador de Peligro
Stefan Schimmer,0,Delantero Killer
Adam Hložek,0,Delantero Killer
Bazoumana Touré,2,Delantero Generador de Peligro
Erencan Yardimci,3,Delantero Faro del Área
Gift Orban,0,Delantero Killer
Haris Tabakovic,3,Delantero Faro del Área
Jacob Bruun Larsen,2,Delantero Generador de Peligro
Marius Bülter,2,Delantero Generador de Peligro
Max Moerstedt,0,Delantero Killer
Mergim Berisha,1,Delantero Mediapunta
Alexander Bernhardsson,2,Delantero Generador de Peligro
Benedikt Pichler,3,Delantero Faro del Área
Jann-Fiete Arp,2,Delantero Generador de Peligro
Phil Harres,3,Delantero Faro del Área
Shuto Machino,2,Delantero Generador de Peligro
Patrik Schick,0,Delantero Killer
Victor Boniface,0,Delantero Killer
Armindo Sieb,0,Delantero Killer
Jonathan Burkardt,2,Delantero Generador de Peligro
Nelson Weiper,3,Delantero Faro del Área
André Silva,2,Delantero Generador de Peligro
Benjamin Šeško,0,Delantero Killer
Loïs Openda,2,Delantero Generador de Peligro
Yussuf Poulsen,3,Delantero Faro del Área
Danel Sinani,1,Delantero Mediapunta
Elias Saad,2,Delantero Generador de Peligro
Johannes Eggestein,0,Delantero Killer
Morgan Guilavogui,0,Delantero Killer
Noah Weißhaupt,2,Delantero Generador de Peligro
Oladapo Afolayan,2,Delantero Generador de Peligro
Scott Banks,4,Delantero Extremo
Deniz Undav,2,Delantero Generador de Peligro
El Bilal Touré,3,Delantero Faro del Área
Ermedin Demirović,0,Delantero Killer
Justin Diehl,4,Delantero Extremo
Nick Woltemade,2,Delantero Generador de Peligro
Andrej Ilic,3,Delantero Faro del Área
Benedict Hollerbach,4,Delantero Extremo
Ivan Prtajin,3,Delantero Faro del Área
Jordan Pefok,3,Delantero Faro del Área
Marin Ljubicic,2,Delantero Generador de Peligro
Tim Skarke,2,Delantero Generador de Peligro
André Silva,0,Delantero Killer
Justin Njinmah,2,Delantero Generador de Peligro
Keke Maximilian Topp,0,Delantero Killer
Marco Grüll,1,Delantero Mediapunta
Marvin Ducksch,2,Delantero Generador de Peligro
Oliver Burke,0,Delantero Killer
Andreas Skov Olsen,2,Delantero Generador de Peligro
Jonas Wind,3,Delantero Faro del Área
Kevin Behrens,3,Delantero Faro del Área
Lukas Nmecha,3,Delantero Faro del Área
Mohamed Amoura,2,Delantero Generador de Peligro
Ridle Baku,1,Delantero Mediapunta
Tiago Tomás,1,Delantero Mediapunta
Daniel Maldini,0,Delantero Killer
Mateo Retegui,0,Delantero Killer
Nicolò Zaniolo,2,Delantero Generador de Peligro
Benjamín Domínguez,4,Delantero Extremo
Dan Ndoye,4,Delantero Extremo
Jesper Karlsson,2,Delantero Generador de Peligro
Nicolò Cambiaghi,4,Delantero Extremo
Riccardo Orsolini,2,Delantero Generador de Peligro
Samuel Iling-Junior,1,Delantero Mediapunta
Santiago Castro,0,Delantero Killer
Thijs Dallinga,3,Delantero Faro del Área
Florinel Coman,0,Delantero Killer
Gianluca Lapadula,0,Delantero Killer
Kingstone Mutandwa,3,Delantero Faro del Área
Leonardo Pavoletti,3,Delantero Faro del Área
Nicolas Viola,1,Delantero Mediapunta
Roberto Piccoli,3,Delantero Faro del Área
Zito Luvumbo,4,Delantero Extremo
Alberto Cerri,3,Delantero Faro del Área
Alessandro Gabrielloni,2,Delantero Generador de Peligro
Alieu Fadera,4,Delantero Extremo
Anastasios Douvikas,2,Delantero Generador de Peligro
Andrea Belotti,0,Delantero Killer
Assane Diao,4,Delantero Extremo
Gabriel Strefezza,1,Delantero Mediapunta
Jonathan Ikone,4,Delantero Extremo
Patrick Cutrone,2,Delantero Generador de Peligro
Christian Kouamé,3,Delantero Faro del Área
Ismael Konate,0,Delantero Killer
Lorenzo Colombo,0,Delantero Killer
Pietro Pellegri,2,Delantero Generador de Peligro
Sebastiano Esposito,1,Delantero Mediapunta
Albert Guðmundsson,1,Delantero Mediapunta
Andrea Colpani,2,Delantero Generador de Peligro
Christian Kouamé,3,Delantero Faro del Área
Jonathan Ikone,1,Delantero Mediapunta
Lucas Beltrán,1,Delantero Mediapunta
Michael Folorunsho,0,Delantero Killer
Moise Kean,0,Delantero Killer
Nicolò Zaniolo,2,Delantero Generador de Peligro
Riccardo Sottil,4,Delantero Extremo
Alessandro Zanoli,4,Delantero Extremo
Andrea Pinamonti,3,Delantero Faro del Área
Caleb Ekuban,0,Delantero Killer
Jeff Ekhator,0,Delantero Killer
Lorenzo Venturino,1,Delantero Mediapunta
Maxwel Cornet,4,Delantero Extremo
Vitinha,0,Delantero Killer
Amin Sarr,3,Delantero Faro del Área
Casper Tengstedt,0,Delantero Killer
Dailon Livramento,3,Delantero Faro del Área
Daniel Mosquera,3,Delantero Faro del Área
Mathis Lambourde,0,Delantero Killer
Joaquín Correa,1,Delantero Mediapunta
Lautaro Martínez,2,Delantero Generador de Peligro
Marcus Thuram,2,Delantero Generador de Peligro
Marko Arnautović,0,Delantero Killer
Mehdi Taremi,0,Delantero Killer
Dušan Vlahović,0,Delantero Killer
Francisco Conceição,4,Delantero Extremo
Kenan Yıldız,1,Delantero Mediapunta
Nicolás González,0,Delantero Killer
Randal Kolo Muani,2,Delantero Generador de Peligro
Samuel Mbangula,1,Delantero Mediapunta
Gustav Isaksen,4,Delantero Extremo
Loum Tchaouna,2,Delantero Generador de Peligro
Mattia Zaccagni,1,Delantero Mediapunta
Pedro,1,Delantero Mediapunta
Tijjani Noslin,0,Delantero Killer
Valentín Castellanos,0,Delantero Killer
Ante Rebić,0,Delantero Killer
Jesper Karlsson,1,Delantero Mediapunta
Konan N'dri,2,Delantero Generador de Peligro
Lameck Banda,4,Delantero Extremo
Nikola Krstović,0,Delantero Killer
Santiago Pierotti,0,Delantero Killer
Tete Morente,1,Delantero Mediapunta
Christian Pulisic,2,Delantero Generador de Peligro
Francesco Camarda,3,Delantero Faro del Área
Luka Jović,1,Delantero Mediapunta
Noah Okafor,4,Delantero Extremo
Rafael Leão,4,Delantero Extremo
Riccardo Sottil,4,Delantero Extremo
Samuel Chukwueze,2,Delantero Generador de Peligro
Santiago Giménez,0,Delantero Killer
Tammy Abraham,0,Delantero Killer
Álvaro Morata,0,Delantero Killer
Andrea Petagna,3,Delantero Faro del Área
Dany Mota,0,Delantero Killer
Keita Baldé,1,Delantero Mediapunta
Milan Đurić,3,Delantero Faro del Área
Mirko Marić,3,Delantero Faro del Área
Silvère Ganvoula M'Boussy,3,Delantero Faro del Área
Cyril Ngonge,2,Delantero Generador de Peligro
David Neres,4,Delantero Extremo
Giacomo Raspadori,1,Delantero Mediapunta
Giovanni Simeone,0,Delantero Killer
Khvicha Kvaratskhelia,4,Delantero Extremo
Matteo Politano,1,Delantero Mediapunta
Romelu Lukaku,0,Delantero Killer
Adrian Benedyczak,3,Delantero Faro del Área
Ange-Yoan Bonny,2,Delantero Generador de Peligro
Dennis Man,1,Delantero Mediapunta
Gabriel Charpentier,0,Delantero Killer
Mateo Pellegrino,3,Delantero Faro del Área
Matteo Cancellieri,0,Delantero Killer
Milan Đurić,3,Delantero Faro del Área
Pontus Almqvist,4,Delantero Extremo
Valentin Mihaila,1,Delantero Mediapunta
Artem Dovbyk,0,Delantero Killer
Eldor Shomurodov,0,Delantero Killer
Paulo Dybala,1,Delantero Mediapunta
Antonio Sanabria,0,Delantero Killer
Che Adams,0,Delantero Killer
Duván Zapata,0,Delantero Killer
Elif Elmas,1,Delantero Mediapunta
Eybi Nije,0,Delantero Killer
Sergiu Perciun,1,Delantero Mediapunta
Alexis Sánchez,1,Delantero Mediapunta
Florian Thauvin,1,Delantero Mediapunta
Iker Bravo,0,Delantero Killer
Keinan Davis,0,Delantero Killer
Lorenzo Lucca,3,Delantero Faro del Área
Antonio Raimondo,0,Delantero Killer
Christian Gytkjær,3,Delantero Faro del Área
Daniel Fila,2,Delantero Generador de Peligro
Gaetano Oristanio,2,Delantero Generador de Peligro
Joel Pohjanpalo,0,Delantero Killer
John Yeboah,2,Delantero Generador de Peligro
Mirko Marić,3,Delantero Faro del Área
